Date,Time,Strategy,Strategy_Name,Symbol,Signal,CMP,Entry,SL,T1,T2,RR,Confidence,RS,Sector,Regime,Regime_Score,Regime_Fit,Status,Exit_Date,Exit_Price,Exit_Reason,PnL_Pct
2026-03-09,11:38,VCP,VCP (Minervini),NAVINFLUOR,BUY,6387.5,6666.0,5777.29,7999.06,8887.77,2.5,71,88.0,Chemicals,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,VCP,VCP (Minervini),TORNTPHARM,BUY,4373.7,4470.0,4125.95,4986.08,5764.66,3.8,70,100.0,Healthcare,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,VCP,VCP (Minervini),CUMMINSIND,BUY,4691.3,4987.0,4488.4,5734.9,6801.55,3.6,70,77.0,Capital Goods,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,VCP,VCP (Minervini),MARICO,BUY,778.0,813.5,760.93,892.36,983.71,3.2,70,80.0,Fast Moving Consumer Goods,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,VCP,VCP (Minervini),GLENMARK,BUY,2117.6,2159.8,1995.75,2405.88,2569.93,2.5,70,87.0,Healthcare,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,VCP,VCP (Minervini),ASTRAL,BUY,1605.9,1705.2,1568.77,1935.28,2307.58,4.4,70,91.0,Capital Goods,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,VCP,VCP (Minervini),SONACOMS,BUY,500.7,546.9,485.31,639.28,700.87,2.5,70,73.0,Automobile and Auto Components,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,VCP,VCP (Minervini),HINDALCO,BUY,945.35,983.5,881.03,1137.2,1239.67,2.5,68,97.0,Metals & Mining,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,VCP,VCP (Minervini),TITAN,BUY,4159.2,4352.2,4041.69,4817.96,5282.87,3.0,68,87.0,Consumer Durables,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,VCP,VCP (Minervini),BIOCON,BUY,389.7,401.05,371.08,446.01,475.98,2.5,68,70.0,Healthcare,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,VCP,VCP (Minervini),JINDALSTEL,BUY,1144.1,1272.1,1116.12,1506.07,1746.17,3.0,65,96.0,Metals & Mining,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,EMA21_Bounce,21 EMA Bounce,ABB,BUY,5982.5,5982.5,5749.52,6331.97,6564.95,2.5,70,100.0,Capital Goods,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,EMA21_Bounce,21 EMA Bounce,HINDALCO,BUY,945.35,945.35,910.18,998.11,1033.28,2.5,70,97.0,Metals & Mining,DISTRIBUTION,-2,OK,STOPPED,2026-03-09,910.18,Stop Loss Hit,-3.72
2026-03-09,11:38,EMA21_Bounce,21 EMA Bounce,SUNDARMFIN,BUY,5413.5,5413.5,5046.16,5964.51,6331.85,2.5,70,97.0,Financial Services,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,EMA21_Bounce,21 EMA Bounce,VEDL,BUY,709.4,709.4,686.13,744.3,767.57,2.5,70,100.0,Metals & Mining,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,EMA21_Bounce,21 EMA Bounce,NTPC,BUY,376.25,376.25,366.61,390.71,414.33,4.0,70,100.0,Power,DISTRIBUTION,-2,OK,STOPPED,2026-03-09,366.61,Stop Loss Hit,-2.56
2026-03-09,11:38,EMA21_Bounce,21 EMA Bounce,BIOCON,BUY,389.7,389.7,375.13,411.55,426.12,2.5,70,70.0,Healthcare,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,EMA21_Bounce,21 EMA Bounce,TORNTPHARM,BUY,4373.7,4373.7,4198.63,4636.3,4808.69,2.5,65,100.0,Healthcare,DISTRIBUTION,-2,OK,STOPPED,2026-03-09,4198.63,Stop Loss Hit,-4.0
2026-03-09,11:38,EMA21_Bounce,21 EMA Bounce,GLENMARK,BUY,2117.6,2117.6,2024.15,2257.77,2351.22,2.5,65,87.0,Healthcare,DISTRIBUTION,-2,OK,OPEN,,,,
2026-03-09,11:38,52WH_Breakout,52-Week High Breakout,SUNPHARMA,BUY,1807.4,1807.4,1789.54,1837.07,1951.96,8.0,72,69.0,Healthcare,DISTRIBUTION,-2,OK,STOPPED,2026-03-09,1789.54,Stop Loss Hit,-0.99
2026-03-09,11:38,Last30Min_ATH,Last 30 Min ATH,SUNPHARMA,BUY,1807.4,1807.4,1770.0,1863.5,1951.96,3.9,74,69.0,Healthcare,DISTRIBUTION,-2,OK,STOPPED,2026-03-09,1770.0,Stop Loss Hit,-2.07
2026-03-09,11:38,Last30Min_ATH,Last 30 Min ATH,TORNTPHARM,BUY,4373.7,4373.7,4259.2,4545.45,4808.69,3.8,68,100.0,Healthcare,DISTRIBUTION,-2,OK,STOPPED,2026-03-09,4259.2,Stop Loss Hit,-2.62
2026-03-09,11:38,Last30Min_ATH,Last 30 Min ATH,NTPC,BUY,376.25,376.25,371.4,388.55,414.33,7.9,68,100.0,Power,DISTRIBUTION,-2,OK,STOPPED,2026-03-09,371.4,Stop Loss Hit,-1.29
2026-03-09,11:38,Failed_Breakout_Short,Failed Breakout Short,BEL,SHORT,457.35,457.35,477.29,427.44,407.5,2.5,67,100.0,Capital Goods,DISTRIBUTION,-2,OK,OPEN,,,,
